id,team_api_id,team_fifa_api_id,team_long_name,team_short_name,id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
20524,9857,189,Bologna,BOL,192,189,9857,2010-02-22 00:00:00,65,Balanced,,Little,55,Mixed,Organised,30,Safe,70,Lots,65,Normal,Organised,55,Medium,30,Contain,50,Normal,Offside Trap
3471,8559,4,Bolton Wanderers,BOL,198,4,8559,2010-02-22 00:00:00,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
9539,9827,59,Girondins de Bordeaux,BOR,204,59,9827,2010-02-22 00:00:00,70,Fast,,Little,35,Mixed,Organised,70,Risky,50,Normal,70,Lots,Organised,55,Medium,70,Double,70,Wide,Offside Trap
15620,9789,22,Borussia Dortmund,DOR,210,22,9789,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap
15631,9788,23,Borussia Mönchengladbach,GLA,216,23,9788,2010-02-22 00:00:00,65,Balanced,,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover
10312,4170,111376,US Boulogne Cote D'Opale,BOU,222,111376,4170,2010-02-22 00:00:00,45,Balanced,,Little,30,Short,Organised,35,Normal,55,Normal,60,Normal,Organised,70,High,60,Press,70,Wide,Offside Trap
8779,8678,1943,Bournemouth,BOU,225,1943,8678,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,60,Normal,Organised,70,High,70,Double,70,Wide,Cover
35290,10264,1896,SC Braga,BRA,231,1896,10264,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,55,Normal,50,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
22044,9858,190,Brescia,BRE,237,190,9858,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,35,Normal,50,Normal,70,Lots,Free Form,45,Medium,30,Contain,55,Normal,Offside Trap
11076,8521,378,Stade Brestois 29,BRE,243,378,8521,2010-02-22 00:00:00,50,Balanced,,Little,40,Mixed,Organised,30,Safe,40,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover
4234,8191,1796,Burnley,BUR,249,1796,8191,2010-02-22 00:00:00,70,Fast,,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover
9540,7819,210,SM Caen,CAE,255,210,7819,2010-02-22 00:00:00,65,Balanced,,Little,30,Short,Organised,50,Normal,65,Normal,40,Normal,Organised,70,High,65,Press,70,Wide,Cover
20515,8529,1842,Cagliari,CAG,261,1842,8529,2010-02-22 00:00:00,40,Balanced,,Little,30,Short,Organised,30,Safe,35,Normal,55,Normal,Organised,40,Medium,55,Press,60,Normal,Cover
7276,8344,1961,Cardiff City,CAR,269,1961,8344,2010-02-22 00:00:00,65,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
20517,8530,110364,Catania,CAT,277,110364,8530,2010-02-22 00:00:00,35,Balanced,,Little,30,Short,Organised,30,Safe,30,Little,60,Normal,Organised,35,Medium,55,Press,50,Normal,Cover
46087,9910,450,RC Celta de Vigo,CEL,283,450,9910,2010-02-22 00:00:00,35,Balanced,,Little,30,Short,Organised,45,Normal,45,Normal,70,Lots,Organised,35,Medium,30,Contain,50,Normal,Offside Trap
39395,9925,78,Celtic,CEL,289,78,9925,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,65,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
5,9984,1750,KSV Cercle Brugge,CEB,295,1750,9984,2010-02-22 00:00:00,45,Balanced,,Little,35,Mixed,Organised,70,Risky,45,Normal,55,Normal,Organised,65,Medium,60,Press,70,Wide,Cover
22042,9880,110915,Cesena,CES,301,110915,9880,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,35,Normal,45,Normal,65,Normal,Organised,50,Medium,30,Contain,50,Normal,Cover
3475,8455,5,Chelsea,CHE,307,5,8455,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
20519,8533,192,Chievo Verona,CHI,313,192,8533,2010-02-22 00:00:00,45,Balanced,,Little,30,Short,Organised,35,Normal,45,Normal,65,Normal,Organised,30,Deep,70,Double,65,Normal,Offside Trap
12,8342,231,Club Brugge KV,CLB,319,231,8342,2010-02-22 00:00:00,35,Balanced,,Little,40,Mixed,Organised,45,Normal,50,Normal,45,Normal,Organised,60,Medium,70,Double,70,Wide,Cover
47612,7869,1867,Córdoba CF,COR,325,1867,7869,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,35,Normal,45,Normal,60,Normal,Organised,35,Medium,30,Contain,40,Normal,Cover
31458,2186,110747,Cracovia,CKR,331,110747,2186,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,40,Normal,35,Normal,65,Normal,Organised,70,High,70,Double,65,Normal,Cover
7261,9826,1799,Crystal Palace,CRY,336,1799,9826,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,65,Normal,Organised,65,Medium,60,Press,60,Normal,Cover
43039,9783,242,RC Deportivo de La Coruña,COR,345,242,9783,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,30,Safe,45,Normal,65,Normal,Organised,35,Medium,35,Press,45,Normal,Offside Trap
11825,9836,110569,Dijon FCO,DIJ,351,110569,9836,2010-02-22 00:00:00,55,Balanced,,Little,40,Mixed,Organised,40,Normal,40,Normal,55,Normal,Organised,30,Deep,60,Press,30,Narrow,Offside Trap
39398,9938,181,Dundee United,DUU,359,181,9938,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,65,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
15625,9810,1824,Eintracht Frankfurt,EFR,372,1824,9810,2010-02-22 00:00:00,60,Balanced,,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover
46848,10268,468,Elche CF,ELC,378,468,10268,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,45,Normal,50,Normal,70,Lots,Organised,50,Medium,45,Press,45,Normal,Cover
25048,8534,1746,Empoli,EMP,384,1746,8534,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,30,Safe,30,Little,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
15629,8398,162,FC Energie Cottbus,COT,390,162,8398,2010-02-22 00:00:00,45,Balanced,,Little,55,Mixed,Organised,30,Safe,55,Normal,45,Normal,Organised,68,High,70,Double,68,Wide,Cover
43049,8558,452,RCD Espanyol,ESP,395,452,8558,2010-02-22 00:00:00,55,Balanced,,Little,40,Mixed,Organised,70,Risky,55,Normal,70,Lots,Organised,70,High,50,Press,60,Normal,Cover
3467,8668,7,Everton,EVE,405,7,8668,2010-02-22 00:00:00,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
39387,8596,79,Falkirk,FAL,419,79,8596,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,60,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
15624,8722,31,1. FC Köln,FCK,420,31,8722,2010-02-22 00:00:00,55,Balanced,,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover
26548,8674,1915,FC Groningen,GRO,427,1915,8674,2010-02-22 00:00:00,41,Balanced,,Little,32,Short,Organised,40,Normal,47,Normal,69,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover
35283,9773,236,FC Porto,POR,433,236,9773,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap
26555,9908,1903,FC Utrecht,UTR,439,1903,9908,2010-02-22 00:00:00,45,Balanced,,Little,45,Mixed,Organised,33,Safe,50,Normal,67,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover
49124,10243,894,FC Zürich,ZUR,446,894,10243,2010-02-22 00:00:00,45,Balanced,,Little,60,Mixed,Organised,45,Normal,70,Lots,50,Normal,Organised,50,Medium,55,Press,50,Normal,Offside Trap
26558,10235,246,Feyenoord,FEY,452,246,10235,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,44,Normal,41,Normal,46,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
20521,8535,110374,Fiorentina,FIO,458,110374,8535,2010-02-22 00:00:00,67,Fast,,Little,30,Short,Free Form,50,Normal,60,Normal,60,Normal,Free Form,45,Medium,30,Contain,60,Normal,Offside Trap
18074,8194,110636,Fortuna Düsseldorf,FDU,464,110636,8194,2010-02-22 00:00:00,65,Balanced,,Little,35,Mixed,Organised,70,Risky,50,Normal,52,Normal,Free Form,45,Medium,70,Double,54,Normal,Cover
16237,8358,25,SC Freiburg,FRE,470,25,8358,2010-02-22 00:00:00,50,Balanced,,Little,30,Short,Organised,30,Safe,70,Lots,60,Normal,Organised,55,Medium,50,Press,50,Normal,Cover
25791,9891,111657,Frosinone,FRO,476,111657,9891,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,30,Safe,45,Normal,65,Normal,Organised,30,Deep,30,Contain,65,Normal,Offside Trap
3474,9879,144,Fulham,FUL,479,144,9879,2010-02-22 00:00:00,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover
1,9987,673,KRC Genk,GEN,485,673,9987,2010-02-22 00:00:00,45,Balanced,,Little,45,Mixed,Organised,50,Normal,35,Normal,60,Normal,Organised,70,High,65,Press,70,Wide,Cover
20518,10233,110556,Genoa,GEN,491,110556,10233,2010-02-22 00:00:00,70,Fast,,Little,50,Mixed,Organised,70,Risky,40,Normal,65,Normal,Organised,40,Medium,65,Press,30,Narrow,Cover
7,9991,674,KAA Gent,GEN,497,674,9991,2010-02-22 00:00:00,70,Fast,,Little,65,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,50,Press,40,Normal,Cover
43046,8305,1860,Getafe CF,GET,503,1860,8305,2010-02-22 00:00:00,30,Slow,,Little,35,Mixed,Organised,35,Normal,50,Normal,70,Lots,Free Form,40,Medium,30,Contain,50,Normal,Offside Trap
31454,8569,110744,GKS Bełchatów,BEL,515,110744,8569,2010-02-22 00:00:00,30,Slow,,Little,50,Mixed,Organised,45,Normal,40,Normal,70,Lots,Organised,65,Medium,70,Double,65,Normal,Cover
31445,8020,111429,Polonia Bytom,GOR,523,111429,8020,2010-02-22 00:00:00,30,Slow,,Little,50,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover
49115,9956,322,Grasshopper Club Zürich,GRA,530,322,9956,2010-02-22 00:00:00,30,Slow,,Little,50,Mixed,Organised,55,Normal,70,Lots,55,Normal,Organised,40,Medium,60,Press,60,Normal,Cover
9554,9855,1805,Grenoble Foot 38,GRE,536,1805,9855,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,65,Normal,60,Normal,70,Lots,Organised,70,High,55,Press,70,Wide,Cover
18079,8357,165,SpVgg Greuther Fürth,GRF,538,165,8357,2010-02-22 00:00:00,55,Balanced,,Little,45,Mixed,Organised,30,Safe,70,Lots,70,Lots,Organised,40,Medium,55,Press,60,Normal,Cover
13343,9747,62,En Avant de Guingamp,GUI,544,62,9747,2010-02-22 00:00:00,35,Balanced,,Little,30,Short,Organised,45,Normal,55,Normal,70,Lots,Organised,30,Deep,65,Press,30,Narrow,Offside Trap
15618,9790,28,Hamburger SV,HAM,549,28,9790,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover
39397,8429,184,Hamilton Academical FC,HAM,555,184,8429,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,60,Normal,Organised,60,Medium,65,Press,70,Wide,Cover
15622,9904,485,Hannover 96,HAN,558,485,9904,2010-02-22 00:00:00,55,Balanced,,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover
39389,9860,80,Heart of Midlothian,HEA,564,80,9860,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
26557,9791,100634,Heracles Almelo,HER,569,100634,9791,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,31,Safe,43,Normal,59,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
44557,10278,100879,Hércules Club de Fútbol,HER,575,100879,10278,2010-02-22 00:00:00,40,Balanced,,Little,30,Short,Organised,50,Normal,35,Normal,70,Lots,Organised,35,Medium,35,Press,50,Normal,Cover
15626,8177,166,Hertha BSC Berlin,HBE,580,166,8177,2010-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Organised,45,Normal,55,Normal,55,Normal,Organised,55,Medium,30,Contain,55,Normal,Cover
39392,10251,81,Hibernian,HIB,586,81,10251,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,60,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
15630,8226,10029,TSG 1899 Hoffenheim,HOF,591,10029,8226,2010-02-22 00:00:00,70,Fast,,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap
3473,8667,1952,Hull City,HUL,597,1952,8667,2010-02-22 00:00:00,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
20528,8636,44,Inter,INT,608,44,8636,2010-02-22 00:00:00,55,Balanced,,Little,55,Mixed,Free Form,50,Normal,55,Normal,70,Lots,Organised,50,Medium,60,Press,55,Normal,Cover
31456,1957,110745,Jagiellonia Białystok,BIA,619,110745,1957,2010-02-22 00:00:00,30,Slow,,Little,50,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
20522,9885,45,Juventus,JUV,625,45,9885,2010-02-22 00:00:00,45,Balanced,,Little,35,Mixed,Free Form,45,Normal,55,Normal,70,Lots,Free Form,50,Medium,35,Press,70,Wide,Offside Trap
16848,8350,29,1. FC Kaiserslautern,KAI,631,29,8350,2010-02-22 00:00:00,45,Balanced,,Little,55,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
15633,8295,1832,Karlsruher SC,KAR,637,1832,8295,2010-02-22 00:00:00,70,Fast,,Little,35,Mixed,Organised,70,Risky,65,Normal,70,Lots,Organised,65,Medium,40,Press,65,Normal,Cover
39391,8597,82,Kilmarnock,KIL,642,82,8597,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,65,Normal,Organised,60,Medium,70,Double,70,Wide,Cover
31925,8245,111083,Korona Kielce,KKI,648,111083,8245,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover
14,8571,100081,KV Kortrijk,KOR,654,100081,8571,2010-02-22 00:00:00,50,Balanced,,Little,60,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,60,Medium,60,Press,65,Normal,Cover
11,8203,110724,KV Mechelen,MEC,660,110724,8203,2010-02-22 00:00:00,65,Balanced,,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,60,Medium,70,Double,60,Normal,Cover
48358,8306,472,UD Las Palmas,LAS,666,472,8306,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,45,Normal,40,Normal,70,Lots,Organised,35,Medium,45,Press,45,Normal,Offside Trap
50204,7730,1862,FC Lausanne-Sports,LAU,672,1862,7730,2010-02-22 00:00:00,30,Slow,,Little,60,Mixed,Organised,40,Normal,60,Normal,60,Normal,Organised,55,Medium,60,Press,50,Normal,Cover
20516,8543,46,Lazio,LAZ,676,46,8543,2010-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Organised,50,Normal,40,Normal,70,Lots,Organised,55,Medium,50,Press,70,Wide,Cover
9541,9746,1738,Le Havre AC,LEH,682,1738,9746,2010-02-22 00:00:00,55,Balanced,,Little,45,Mixed,Organised,40,Normal,50,Normal,65,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
9543,8682,1739,Le Mans FC,LEM,688,1739,8682,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,65,Normal,60,Normal,65,Normal,Organised,70,High,60,Press,70,Wide,Cover
20530,9888,347,Lecce,LEC,692,347,9888,2010-02-22 00:00:00,40,Balanced,,Little,30,Short,Organised,45,Normal,60,Normal,70,Lots,Organised,30,Deep,70,Double,65,Normal,Cover
31453,2182,873,Lech Poznań,POZ,695,873,2182,2010-02-22 00:00:00,40,Balanced,,Little,35,Mixed,Organised,45,Normal,40,Normal,70,Lots,Organised,60,Medium,55,Press,45,Normal,Cover
31450,8030,111091,Lechia Gdańsk,LGD,701,111091,8030,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,70,High,70,Double,65,Normal,Cover
31447,8673,1871,Legia Warszawa,LEG,707,1871,8673,2010-02-22 00:00:00,30,Slow,,Little,35,Mixed,Organised,55,Normal,45,Normal,70,Lots,Organised,65,Medium,70,Double,60,Normal,Cover
8021,8197,95,Leicester City,LEI,713,95,8197,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,70,High,70,Double,70,Wide,Cover
35295,6421,10018,Leixões SC,LEI,719,10018,6421,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,50,Normal,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
10300,8588,64,RC Lens,LEN,720,64,8588,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,60,Normal,50,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap
44565,8581,1853,Levante UD,LEV,726,1853,8581,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,45,Normal,40,Normal,70,Lots,Organised,30,Deep,35,Press,50,Normal,Cover
9550,8639,65,LOSC Lille,LIL,737,65,8639,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Organised,50,Normal,45,Normal,55,Normal,Organised,55,Medium,70,Double,55,Normal,Cover
3462,8650,9,Liverpool,LIV,743,9,8650,2010-02-22 00:00:00,50,Balanced,,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
21285,8537,1844,Livorno,LIV,749,1844,8537,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,30,Safe,30,Little,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap
4,9994,2007,Sporting Lokeren,LOK,759,2007,9994,2010-02-22 00:00:00,60,Balanced,,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,65,Medium,65,Press,70,Wide,Cover
9544,8689,217,FC Lorient,LOR,765,217,8689,2010-02-22 00:00:00,45,Balanced,,Little,70,Long,Organised,30,Safe,50,Normal,40,Normal,Organised,70,High,60,Press,70,Wide,Offside Trap
